std_tdl,std_x,std_y
-8.75,-44.244173474750056,10.616916084796117
-7.5,-44.91138720322041,20.473228776715505
-6.25,-42.96791918348766,30.62098985200334
-5.0,-38.36598069619412,40.30664337482355
-3.75,-31.28479395077337,48.783191148583455
-2.5,-22.120313304214072,55.37986863129014
-1.25,-11.453483277026647,59.565647371659175
0.0,0.0,61.0
1.25,11.453483277026647,59.565647371659175
2.5,22.120313304214072,55.37986863129014
3.75,31.28479395077337,48.783191148583455
5.0,38.36598069619412,40.30664337482355
6.25,42.96791918348766,30.62098985200334
7.5,44.91138720322041,20.473228776715505
8.75,44.244173474750056,10.616916084796117
